
PL/SQL procedure successfully completed.


        ID HASH_BLOCKS    HASH_KB TOTAL_COST  HASH_COST      DELTA
---------- ----------- ---------- ---------- ---------- ----------
         8           8         64       2323       1811
         9           9         72       2152       1640       -171
        10          10         80       2015       1503       -137
        11          11         88       1904       1392       -111
        12          12         96       1811       1299        -93
        13          13        104       1259        747       -552
        14          14        112       1225        713        -34
        15          15        120       1196        684        -29
        16          16        128       1170        658        -26
        17          17        136       1148        636        -22
        18          18        144       1127        615        -21
        19          19        152       1109        597        -18
        20          20        160       1092        580        -17
        21          21        168       1078        566        -14
        22          22        176       1065        553        -13
        23          23        184       1052        540        -13
        24          24        192       1041        529        -11
        25          25        200       1031        519        -10
        26          26        208       1022        510         -9
        27          27        216       1013        501         -9
        28          28        224       1005        493         -8
        29          29        232        997        485         -8
        30          30        240        990        478         -7
        31          31        248        984        472         -6
        32          32        256        920        408        -64
        33          33        264        918        406         -2
        34          34        272        916        404         -2
        35          35        280        915        403         -1
        36          36        288        913        401         -2
        37          37        296        911        399         -2
        38          38        304        909        397         -2
        39          39        312        907        395         -2
        40          40        320        906        394         -1
        41          41        328        904        392         -2
        42          42        336       1789       1277        885
        43          43        344       1784       1272         -5
        44          44        352       1778       1266         -6
        45          45        360       1772       1260         -6
        46          46        368       1766       1254         -6
        47          47        376       1760       1248         -6
        48          48        384       1754       1242         -6
        49          49        392       1748       1236         -6
        50          50        400       1742       1230         -6
        51          51        408       1736       1224         -6
        52          52        416       1730       1218         -6
        53          53        424       1724       1212         -6
        54          54        432       1718       1206         -6
        55          55        440       1313        801       -405
        56          56        448       1309        797         -4
        57          57        456       1305        793         -4
        58          58        464       1301        789         -4
        59          59        472       1297        785         -4
        60          60        480       1293        781         -4
        61          61        488       1289        777         -4
        62          62        496       1285        773         -4
        63          63        504       1281        769         -4
        64          64        512       1277        765         -4
        65          65        520       1273        761         -4
        66          66        528       1269        757         -4
        67          67        536       1265        753         -4
        68          68        544       1261        749         -4
        69          69        552       1072        560       -189
        70          70        560       1069        557         -3
        71          71        568       1066        554         -3
        72          72        576       1063        551         -3
        73          73        584       1060        548         -3
        74          74        592       1057        545         -3
        75          75        600       1054        542         -3
        76          76        608       1051        539         -3
        77          77        616       1048        536         -3
        78          78        624       1045        533         -3
        79          79        632       1042        530         -3
        80          80        640       1039        527         -3
        81          81        648       1036        524         -3
        82          82        656       1033        521         -3
        83          83        664        927        415       -106
        84          84        672        925        413         -2
        85          85        680        923        411         -2
        86          86        688        920        408         -3
        87          87        696        918        406         -2
        88          88        704        915        403         -3
        89          89        712        913        401         -2
        90          90        720        911        399         -2
        91          91        728        908        396         -3
        92          92        736        906        394         -2
        93          93        744        903        391         -3
        94          94        752        901        389         -2
        95          95        760        899        387         -2
